Informal approach,  முறைசாரா அணுகுதல்: முறைசாரா அணுகல், 
Infrabuccal pocket,  கீழ்வாய்க்குழிப்பக்கு, 
Infracentral,  நடுவகத்துக்குக் கீழே இடனுற்ற, 
Infraclass,  உள்வகுப்பினுட்பிரிவு, அகப்பிரிவு, 
Infraspinous fossa,  தோள் முள்ளெலும்புக் கீழ்ப்புழை, 
Infrasternal,  மார்பெலும்புக்குக் கீழாக, 
Infrequent,  அருதிகழ்வான, 
Infringement of copy right,  பதிப்புரிமை மீறுகை, 
. Infringement of rules,  வரையீடுகளை மீறுகை, 
Infringement of the act,  மீறல், 
Infundibular,  வைத்தூற்றியுருப்பகுதியையுடைய, 
Infundibuliform,  வைத்தூற்றி போன்ற உருவுடைய, 
Infusoria,  நுண்ணுயிருணவு// சாற்றுயிரி, 
Infusoriform larva,  சாற்றுரு வேற்றிளரி, 
Infusorigen,  சாற்றுருவேற்றிளரியீனி, 
Ingadulcis,  கொடுக்காய்ப்புளி, 
Ingate,  உட்படலை, 
Ingathering,  திரட்டிச் சேர்த்தல், 
Ingenuity of deduction,  உய்த்துணர்திறன், 
Ingesta,  விழுங்கிய உணவு/ விழுங்கிய பொருள், 
Ingliding diphthong,  உள்நழுவீருயிர், 
Ingot-moulds,  பாள அச்சுகள், 
Ingot-saw,  கட்டி- வாள், 
Ingotting,  கட்டியாக்கல், பாளமாக்குதல், 
Ingrafting,  பதியவைத்தல், 
Infrared laser,  அகச்சிவப்பு லேசர், அகச்சிவப்புக் ககி ஒளி, 
Infrared maser,  அகச்சிவப்புக் ககிநுவி, அகச்சிவப்பு மேசர், 
Infrared optical material,  அகச்சிவப்பு – ஒளியூடகி, அகச்சிவப்பு ஒளிப்பொருள், 
Infrared phosphor,  அகச்சிவப்பு எரிப்பொறை, 
Infrared photo,  அகச்சிவப்பு – ஒண்படம், 
Infrared photography,  அகச்சிவப்பு ஒளிப்படவியல, அகச்சிவப்பு ஒளிப்படவியல், அகச்சிவப்புக் கதிர்ப்படவியல், அகச்சிவப்புப் புகைப்படவியல், 
Infrared problem,  அகச்சிவப்புச் சிக்கல், 
Infrared radiometry,  அகச்சிவப்புக் கதிர்வீச்சளவியல் Infrared ray அகச்சிவப்புக் கதிர், 
Infrared receiver,  அகச்சிவப்பு வாங்கி, அகச்சிவப்பு ஏற்பி, 
Infrared scanner,  அகச்சிவப்பு மேவி, அகச்சிவப்பு வரிக்கண்ணோட்டி, 
Infrared searchlight,  அகச்சிவப்பு - ஆய்வு விளக்கு, அகச்சிவப்புத் தேடுவிளக்கு, 
Infrared sensors,  அகச்சிவப்பு உணரிகள், 
Infrared soldering,  அகச்சிவப்புப் பற்றாசீடு, அகச்சிவப்பு பற்றாசு, 
Infrared spectrometer,  அகச்சிவப்பு அலைமாலைமானி, அகச்சிவப்பு நிறநிரல்மானி, அகச்சிவப்பு அலைமாலை அளவி, அகச்சிவப்புக் கதிர்நிரல் அளவி, 
Infrared spectrophotometry,  அகச்சிவப்பு நிறநிரல்ஒளிமானிப்பு, அகச்சிவப்பு அலைமாலை ஒளிஅளவியல், 
Infrared spectroscopy,  அகச்சிவப்பு நிறநிரலியல், அகச்சிவப்பு அலைமாலையியல், 
Infrared spectrum,  அகச்சிவப்பு நிறநிரல், அகச்சிவப்பு அலைமாலை, 
Infrared star,  அகச்சிவப்பு விண்மீன், அகச்சிவப்புடு, 
Infrared telescope,  அகச்சிவப்புத் தொலைநோக்கி, அகச்சிவப்புத் தொலை நோக்கி, 
Infrared-transparent material,  அகச்சிவப்பு-ஊடொளிரி, 
Infrared waves,  அகச்சிவப்பலைகள், 
Infrared window,  அகச்சிவப்புச் சாளரம், அகச்சிவப்புப் பலகணி, 
Infrascapular,  தோளெலும்புக்குக் கீழாக, 
Infrasound,  அகவொலி, தாழ்ஒலி அலை, 
Infraspinatus muscle,  முள்ளடித் தசை, 
Infraspinous,  தோள்முள்ளெலும்புக்குக் கீழாக, 
Inherent right,  இயல்புரிமை, 
Inherent transitive,  செயப்படுபொருள் குன்றா இயல்புவினை// செயப்படுப்பொருள் குன்றா இயல்புவினை, 
Inherent variance,  இயல்பு மாறுபடல், 
Inheritable variation,  மரபுவழி மாறுபாடு, 
Inheritance duties,  சொத்துப்பேற்று வரிகள்/ வாரிசு வரிகள், 
Inheritance of acquired characters,  தேட்டப்பண்புகளின் மரபுப்பேறு, 
Inheritance tax,  மரபுச் சொத்துடைமை வரி, 
Inherited disease,  மரபு நோய், 
Inhibited mania,  தடையுணர்ச்சியுற்ற வெறி, 
Inhibiting input,  தடுப்பு உள்ளீடு, அகத்தடை உள்ளூட்டல், 
Inhomogeneous group,  ஓரினமிலாக் குழு, 
Inhomogeneous medium,  ஓரினமிலாவூடகம், 
Inhour,  மாறுமணியலகு, 
Inhour equation,  மாறுமணியலகுச் சமன்பாடு, 
Inion,  பிடரியின் அடி, புறப்பிடரிப் புடைப்பு, 
Iniopagus,  பிடரியொட்டிய இரட்டைப்பிறவி, 
Initial aiming point,  தொடக்கக் குறிபார்ப்புப் புள்ளி, 
Initial boiling point,  தொடக்க கொதிநிலை, தொடக்கக்கொதிநிலை, 
Initial cadastral survey,  தீர்வைக்கான முதல் நில அளவை, தீர்வைக்கான முதல்நில அளவை Initial cluster முதலொற்று மயக்கம், 
Initial condensation,  தொடக்க ஒடுக்கம், 
Initial condition,  தொடக்க நிபந்தனை, தொடக்க நிலை, 
Initial cost,  தொடக்கச் செலவம், தொடக்கச் செலவு, 
Initial dip,  தொடக்க அமிழ்த்தம், 
Initial error,  தொடக்சு-வழு, 
Initial free space,  தொடக்கக் கட்டிலாவெளி, தொடக்கக் கட்டிலா வெளி, 
Initial great-circle course,  தொடக்கப் பெருவட்டத்திசை தொடக்கப்பெருவட்டக்கடவை, 
Ingress and egress,  புகல்வரல், உள்ளேசெல்லுதல் வெளியேறுதல்// செலல் – வரல், 
Ingressive air,  அகவுயிர்ப்புக் காற்று, 
Ingrowing,  உள்நோக்கிய வளர்ச்சி, உள் நோக்கி வளர்கின்ற, 
Inguen,  கவட்டை/ கவட்டி, 
Inguinal canal,  கவட்டுக் கால்வாய்/ கவட்டைக் கான், அடிவயிற்றுக்கால்வாய், 
Inguinal glands,  கவட்டைச் சுரப்பிகள், 
Inguinal ligament,  கவட்டைத் தசைநார், அடிவயிற்று தசைநாண்/ கவட்டைப் பந்தகம், 
Inguinocrural,  கவட்டை - தொடை சார்ந்த, 
Inguinodynia,  கவட்டைவலி, 
Inguinolabial,  கவட்டை - கீழுதடு சார்ந்த, 
Inguino-scrotal swelling,  கவட்டை - விரை வீக்கம், 
Inhalant canal,  உள்ளோட்டக் கான், 
Inhalant siphon,  உள்ளீர்ப்புப் பெய்குழல், 
Inhaled poison,  உள்ளிழுத்த நச்சு, 
Inherence,  உள்ளார்ந்திருக்கை, 
Inherncy,  உள்ளார்ந்திருக்கை, 
Inherent adverbs,  இயல்பு வினையடைகள், 
Inherent bursts,  இயல்பு வெடிப்புகள், உள்ளார்ந்த வெடிப்புகள், 
Inherent damping,  இயல்பு ஒடுக்கம், உள்ளார்ந்த தணிப்பூறு, 
Inherent feature,  இயல்புப், உள்ளமைந்த தனிச்சிறப்பு, 
Inherent fertility,  அறா வளம், உள்ளார்ந்த வளம்;- இயல்பான வளம், தன் வளம், 
Inherent noun,  இயல்புப் பெயர், 
Inherent power,  இயல்பான அதிகாரம்;- இயல்பதிகாரம்;- இயல்பு அதிகாரம், உள்ளார்ந்த அதிகாரம், உள்ளடங்கிய திறன், 
Injected deposit,  ஊடுருவற்படிவு, 
Injecting,  தூண்டி, உட்புகட்டுகின்ற, 
Injection electroluminescence,  உட்செலுத்து மின் ஒளிர்மை, உள்ளூட்டல் - மின்னொளிர்வு, 
Injection fluid,  உள்ளூட்டற்பாயம், 
Injection gas-fluid ratio,  உள்ளூட்டல் - வளிப்பாயத் தகவு, 
Injection laser,  உட்செலுத்து லேசர், புகுத்துமுறைக் - ககி ஒளி, 
Injection locking,  உள்ளூட்டல் – பூட்டீடு, உட்செலுத்து வழிஅடைப்பு, 
Injection pressure,  உட்செலுத்தி வார்த்தல், உள்ளூட்டல் - அழுத்தம், 
Injection pipe,  உள்ளூட்டற்குழாய், 
Injection pump,  உட்செலுத்து அழுத்தம், உட்செலுத்து எக்கி, உள்ளூட்டல் – எஃகி, 
Injection temperature,  உள்ளூட்டல் - வெதணம், உட்செலுத்து வெப்பநிலை, 
Injection tube,  உள்ளூட்டல் – குழல், 
Injection water,  உள்ளூட்டல் - நீர், 
Injection well,  உட்செலுத்தும் கிணறு, உட்புகட்டல் – கிணறு, 
Injectivity index,  உட்புகட்டுதிற – அடைவு, 
Injectivity test,  உட்புகட்டுதிற - ஆய்வு, 
Injector,  உட்செலுத்தி இறைப்பி, உட்செலுத்தி, உட்புகட்டி, உட்பாய்ச்சி, உட்புகுப்பி, 
Injuria sine damno,  சிதைவுறுத்தாத் தீங்கு// சேதம் இல்லாத் தீங்கு, 
Injurious falsehood,  தீங்கான பொய்ம்மை, 
Injurious insects,  தீங்குயிரிகள், 
Ink disc,  மைத்தட்டு, 
Ink duct,  மைத்தொட்டி, 
Inking,  மையிடுதல்: மையீடு: மையால் எழுதுதல்: மையாக்கல், 
Inkless printing,  மையிலா அச்சீடு, 
Ink-mill,  மையாலை, 
Initial instructions,  தொடக்கக் கட்டளைகள், 
Initial invasion,  தொடக்க ஊடுருவல், 
Initial line of sight,  தொடக்கப் பார்வைக் கோடு, 
Initial lock mechanism,  தொடக்கப் பூட்டியங்கமைப்பு, 
Initial mass,  தொடக்கத்திரண்மம், தொடக்கப்பொருண்மை, 
Initial motion,  தொடக்க இயங்கல், தொடக்கவியக்கம், தொடக்க இயக்கம், 
Initial pay,  தொடக்கவூதியம், தொடக்கச் சம்பளம், தொடக்க ஊதியம், 
Initial phrase marker,  தொடக்கத் தொடர்க்குறியன், 
Initial pressure,  தொடக்க அழுத்தம், தொடங்கி வைத்தல், 
Initial reflex,  தொடக்க மறிவினை, 
Initial saturation,  தொடக்கத் தெவிட்டு நிலை, 
Initial set,  ஆரம்ப இறுக்கம், தொடக்கக் கட்டூறு, தொடக்க அமைவு, தொடக்க இறுகுநிலை, 
Initial nuclear radiation,  தொடக்கஅணுக்கரு கதிர்வீச்சு, தொடக்க அணுக்கதிர்வீச்சு, தொடக்க அணுக்கருக் கதிர்வீச்சு, 
Initial side of an angle,  கோணத்தின் தொடக்கப்பக்கம், 
Initial socialization,  தொடக்கநிலைக்குமுகவயமாதல், 
Initial sonants,  மொழி முதல் ஒலிப்பொலிகள், 
Initial spurts,  தொடக்கப் பாய்ச்சல், 
Initial stage,  தொடக்கக் கட்டம், தொடக்கநிலை, தொடக்க நிலை, 
Initial stimulus,  தொடக்கத்தூண்டல், 
Initial stratum,  தொடக்க அடுக்கு, 
Initial stress,  தொடக்க அழுத்தம், தொடக்கத் தகைப்பு, 
Initial substance,  தொடக்கப் பொருள், 
Initial surface,  தொடக்க மேற்பரப்பு, 
Initial symbol,  தொடக்கக் குறியீடு, 
Initial tangent modulus,  தொடக்கத் தொடலிக் குணகம், 
Initial-value problem,  தொடக்கவிழுமியச்சிக்கல் தொடக்க மதிப்புச் சிக்கல், 
Initial value theorem,  தொடக்கவிழுமியத் தேற்றம், தொடக்க மதிப்புத் தேற்றம், 
Initial velocity,  தொடக்கத் திசைவேசும், தொடக்க விரைவு, தொடக்க திசைவேகம், தொடக்க விரைவுத்திறன், தொடக்கத் திசைவேகம், 
Initiation agent,  தொடக்கீட்டு முகவி, 
Initis,  தசையுள்ளழற்சி, 
Injected,  ஊசிவழியேற்றப்பட்ட, புகட்டப்பெற்ற, 
Innate,  கருத்து....): மரபுசார்ந்த, பிறப்பு சார்ந்த, அகத்தன்மை, உள்ளார்ந்த;- இயலாமை (பண்பு, பிறப்பினால் அமைந்த;- இயல்பான, பிறப்பினால் பெற்ற, 
Innate behaviour,  உள்ளியல்பு நடத்தை, 
Innate features,  உள்ளியல்புக் கூறுகள், 
Innate ideas,  இயல்பார்ந்த கருத்துக்கள், 
Innate nature,  உள்ளகவியல்பு, பிறவிப் பண்பு, 
Innavigable,  கப்பல் போக்குவரத்துக்குப் பயன்படாத, 
Inner area,  உட்பரப்பு, 
Inner automorphism,  உள் - தன்னுருவாக்கம், உள் தன் ஒப்புமை, உள் தன்உருவாக்கம், 
Inner basin,  உள்வடிநிலம், 
Inner canal,  உட்கான், 
Inner cavity,  உட்குழிவு, 
Inner cell mass,  உட்கலத் திரண்மம், உள் உயிரணுத்திரள், உள்ளணுத் திரள், 
Inner cheek,  உள்தாடை, 
Inner circle,  உள்வட்டம், 
Inner closure,  உள்ளடைப்பு, 
Inner conductor,  உட்கடத்தி, 
Inner cord,  உள் நாண், 
Inner core,  உள்ளகக் கரு, உள் அகடு, 
Inner cornea,  உள்ளக விழிவெண்படலம், 
Inner cortex,  உள்ளகப் புறணி, 
Inner cylinder,  உள்ளக உருளை, 
Inner digits,  உட்பக்க விரல்கள், 
Inner epidermis,  உட்பக்கப்புறத்தோல், 
Inner epithelium,  உள்-மேலணி, 
Inner form,  உள்ளக வடிவம், 
Inner gill lamina,  உட்செவுள் தகடு, 
Inner integument,  அகச் சூலுறை உட்சூலுறை, 
Inner layer,  அக அடுக்கு, 
Inner lining of egg,  முட்டை உள்ளோட்டுச்சவ்வு, 
Inner lip,  உள் உதடு, 
nner longitudinal fibre,  அக நெட்டாங்கிழை, 
Inner marker,  உள்ளகக்குறியன், உள்வரம்பு காட்டுஒளி, 
Inner market,  உள் அங்காடி, 
Innermost orbit,  மீயுள் வட்டணை, 
Inner motives,  உள் ஊக்கிகள், 
Inner orbit,  உட்கூடு, 
Inner organ,  உள்ளுறுப்பு, 
Inner photoelectric effect,  அக ஒளிமின் விளைவு, உள்ஒளிமின் விளைவு, உள்ளக ஒளிமின்விளைவு, 
nner planets,  அகக்கோள்கள், 
Inner pore,  உள்-புரை, 
Inner principle,  அகவயநெறி, 
Inner product,  உட்பெருக்கு, உட்பெருக்கம், உள் பெருக்கல், உட் பெருக்கல், 
Inner product of functions,  சார்பயன்களின் உட்பெருக்கம், 
Inkometer,  மை – மானி: மைபரப்பு ஏற்பு அளவி, 
Ink recorder,  மைப்பதிவான்: மை பதிவி, 
Ink sac,  மைப்பை, 
Ink squeeze out,  மைமீறி மிகைப்பாய்வு, 
Ink vapour recording,  மையாவிப் பதிவீடு, 
Inland,  உள்நாடு, உண்ணாடு, உள்நிலம், 
Inland bilingualism,  உள்நாட்டு இருமொழியம், 
Inland cover,  உண்ணாட்டஞ்சலுறை, 
Inland duty,  உள்நாட்டு வணிகவரி, 
Inland ice,  உள்நிலப் பனி, உண்ணாட்டுப் பனியட்டை, உள்நிலப் பனிக்கட்டி/ கண்டப் பனி, 
Inland letter,  உள்நாட்டு மடல், உள்நாட்டு அஞ்சல் தாள், 
Inland navigation,  உள்நாட்டுநீர்ப்போக்குவரத்து, உள்நாட்டு நீர்ப்போக்குவரத்து, 
Inland plain,  உள்நாட்டுச் சமநிலம், 
Inland revenue,  உள்நாட்டு வருவாய், உள்நாட்டு வரி வருமானம், 
Inland sea,  உள்நாட்டுக்கடல், உள்நிலக் கடல், 
Inland town,  உள்நாட்டு நகரம, 
Inland water,  உள்நாட்டு நீர், உள்நாட்டு நீர்நிலைகள், 
Inland waterways,  உள்நாட்டு நீர்வழிகள், உள்நாட்டு நீர்வழிப் போக்குவரத்து, 
In-leakage,  உட்கசிவு, 
Inlet angle,  நுழை கோணம், 
Inlet bay,  உட்குடா, 
Inlet box,  உண்ணுழைவுப் பேழை, உள்வழிக் கட்டம், 
Inlet charnel,  நுழைவாய்க் கால்வாய், 
Inlet connection,  நுழைவு இணைப்பு, 
Inlet of the pelvis,  இடுப்புக்கூட்டு உள்ளகம், 
Inlet stroke,  உட்புகு வீச்சு, 
Inlet structure,  புகுமுகக் கட்டமைப்பு; நுழைவுக் கட்டமைப்பு, 
Inletvalve,  உள்ளேற்பு – ஓரதர், 
Inlier,  இளம்பாறை சுற்றிய பழம்பாறை, புதுப்பாறைகள் சூழ்பள்ளம், ஒத்துப்போகாத, பொய்யான, 
In lieu of,  பதிலாக, ஈடாக: மாற்றாக, பகரமாக, 
In loco parentis,  பெற்றோர் நிலையில், பெற்றோர்க்குப்பகரமாக, 
Inmate,  உடனுறைஞர்/ குடியிருப்பவர், தங்கியிருப்பவர், உடனுறைபவர், 
In medias res,  இடையீட்டுத் தொடக்கம், 
In memoriam,  நினைவாக; நினைவுகொள், 
Inmost,  மிகவுள்ளார்ந்த: மிக உள்ளான, அனைத்திலும், 
Inoculation method,  தடுப்பூசி போடும் முறை, 
Inoculation needle,  உட்புகட்டல் – ஊசி, 
Inoculum,  உட்புகும் பொருட்கள், உட்செலுத்தி: மூலநுண்ணுயிர், உட்செலுத்தப் பொருள், தடுப்பூசியீட்டுப் பொருள்; நுண்ணுயிர் மூலவித்து; நோயாக்கச் சிதல், 
Inocyte,  நாரிழையக் குடமம், 
Inofficious,  பணிக்கடனற்ற, 
Inogenesis,  நாரிழையுருவாக்கம், 
Inorganic acid,  கனிமப் புளிமம்/ கனிம அமிலம், 
Inorganic chert,  கனிமத் தீப்படிகக்கல், 
Inorganic compounds,  கனிமச் சேர்மங்கள், 
Inorganic event,  இயல்பற்ற நிகழ்வு, 
Inorganic liquid laser,  கனிம நீர்மக்ககிஒளி/ கனிம நீர்ம லேசர், 
Inorganic polymer,  கனிமப் பல்லுறுப்பி/ கனிமப் பலபடி, 
Inorganic precipitates,  கனிம வீழ்படிவுகள், 
Inorganic salts,  கரியற்ற உப்புகள்/ கனிம உப்புகள், 
Inorganics ubstances,  கனிமப் பொருள்கள், 
Inosemia,  குருதியுள் – இன்வய்வூட்டம், 
Inositol,  இன்வய்வூட்டம், 
Inosituria,  சிறு நீருள் – இன்வய்வூட்டம், 
In other respects,  பிற வகையில், 
Inotropic,  தசைச் சுருக்கவிசையைத் தாக்குகின்ற, 
In-patient,  தங்கும் நோயாளி, 
In personum,  ஆள்குறித்த, ஆள் சுட்டிய, 
In-plant training,  தொழிலகப் பயிற்சி, 
In posse,  வள அடிப்படையையுடைய;- இயலக்கூடிய நிலையில், 
In pouring,  உள்ளே பொழிகின்ற, 
In prescribed manner,  வகுத்தமைத்த பாங்கில், 
Inpropria persona,  தானாக - நேரிடையாக, 
In pursuance,  அதன் அடியொற்றி, 
Input admittance,  உள்ளூட்ட ஏற்பு, உள்ளிடு இசைமை, உள்ளீடு விடுப்பு, 
Input area,  உள்ளீட்டுப் பரப்பு, உள்ளீட்டுப்பரப்பு இடுவரல் பரப்பு, உள்ளீட்டுப் பகுதி, 
Inner product of tensors,  இழுவங்களின் உட்பெருக்கம், 
Inner product of two functions,  இரு - சார்பயன்களின் உட்பெருக்கம், 
Inner product of two vectors,  இரு திசையன்களின் உட்பெருக்கம், 
Inner product space,  உட்பெருக்கத் திசையன்வெளி, உட்பெருக்கு வெளி, உட்பெருக்கல் வெளி, உள் பெருக்கல் வெளி, 
Inner propensities,  அக இயல்புகள், 
Inner psycho-physics  Inner quantum number,  உட் குவைய எண், 
Innerring,  உள் வளையம், 
Inner salt,  உட்சார்ந்தவுப்பு, 
Inner-septic chambers,  இடைச்சுவர் அறைகள், 
Inner sheath,  உள்ளுறை, 
Inner shell membrane,  ஓட்டு – உட்சவ்வு, 
Inner speech,  உள்நிலைப் பேச்சு, 
Inner transition elements,  உள் இடைநிலைத் தனிமங்கள், 
Inner tube extension,  உள்ளகக் குழல் நீட்சி, உட்குழாய் விரிவு, 
Inner tubule,  உள் நுண்குழல், 
Inner urge,  உள் விழைவெழுச்சி, உள் தூண்டல், 
Innervated,  நரம்பு பரவிய, 
Innocency,  குற்றமிலாநிலை, 
Innominate,  பெயிரிலி, பெயரிலாத, 
In nubibus,  புனைவுநிலையில்: முகில்களிடையே, 
Inobservance,  சட்டத்திற்கிணங்கி நடவாமை/ கவனமின்மை, 
Inoccupation,  செயலீடுபாடின்மை, 
Inochondritis,  நாரிழையக் குருத்தெலும்பழற்சி, 
Inochorditis,  நார்க்குருத்தெலும்பழற்சி, 
Inoculated cast iron,  திருத்திய வார்ப்பிரும்பு, 
Inauta Inquisition,  கேள்வி முறைத் தேர்வாய்வு, 
Inquisitor,  கேள்வி முறையாளர், 
Inquisitorial,  நயன் உசாவகரைச் சார்ந்த/ கடுங்கேள்வி முறை வாய்ந்த, 
Inradius,  உள்ளாரை, உள்வட்ட ஆரம், 
In rem,  மன்றுசுட்டிய தீர்ப்புரை, பொருள் குறித்த, பொருள்சுட்டிய, 
Inrush,  உட்பாய்வு/ விரைந்த உள்நுழைவு, 
Inrush current,  உட்பாய்வு மின்னோட்டம், 
Ins,  ஆளுங்கட்சி, 
Insanitariness,  அழக்கூறு, தூய்மையின்மை, 
Inscribed cone,  உள் வரைந்த கூம்பு, 
Inscribed cylinder,  உள்வரைந்தவுருளை, 
Inscribed figure,  உள்வரைந்தவுருவம், 
Inscribed polygon,  உள்வரைந்த பன்கோணி, உள் பலகோணம், உள்வரைப் பலகோணம், 
Inscribed nrism,  உள் வரைந்து பட்ட பம், 
Insect attractant,  பூச்சி கவரி, பூச்சியீர்ப்பான் பூச்சி – கவரி, 
Insect control,  பூச்சியினக்கட்டுப்படுத்தம், 
Insect gall,  பூச்சிமுண்டு, 
Insecticide,  பூச்சிக் கொல்லி, பூச்சி கொல்லி, பூச்சிக்கொல்லி, 
Insectivorous,  பூச்சியுண்ணும், பூச்சியுண்ணும் பழக்கமுடைய, 
Insectivorous leaves,  பூச்சியூண் - இலைகள், 
Input capacitance,  உள்ளீட்டு மின்தேக்கம், உள்ளூட்டக் கொள்திறம், 
Input circuit,  உள்ளூட்டச் சுற்று, 
Input component,  உள்ளூட்டக் கூறு, 
Input device,  உள்ளீட்டுச் சாதனம்;- இடுபொறி, உள்ளீட்டுக் குறிப்பொறி, உள்ளிடு கருவி, உள்ளீட்டுக் கருவி, 
Input record,  இடுவரல் பதிவுரு, 
