tack range,  பசை ஒட்டுக்கால நெடுக்கம், 
tangential acceleration,  தொடு திசை முடுக்கம், தொடுவரை முடுக்கம், தொடுகோட்டு முடுக்கம், தொடுதிசை முடுக்கம், 
tangential coma,  தொடுகோட்டு உருக்குழப்பம், 
tangential component,  தொடுகோட்டுக் கூறு, தொடுகோட்டுறுப்பு, 
tangential coordinates,  தொடலி ஆயத்தொலைகள், தொடுகோட்டு ஆயங்கள், 
tangential feed,  தொடலியூட்டம், தொடுகோட்டு ஊட்டம், 
tangential polar equation,  தொடுகை முனைச் சமன்பாடு, தொடு திசை கோணதூர சமன்பாடு, 
tangential velocity,  தொடுகோட்டுத் திசைவேகம், தொடு திசைவேகம், 
tangential wave path,  தொடலிசார்- அலைவழி, தொடுகை அலைபாதை, 
tangent latitude error,  தொடுகை அகலாங்குப் பிழை, தொடலியகலாங்குப் பிழை, 
tangent modulus,  தொடுக்கைக் குணகம், 
tangent offset,  தொடுகோட்டு விலக்கவரிகள், 
tangent plane,  தொடு தளம், தொடுதளம், 
tangential screw,  தொடுகோட்டுத் திருகு, தொடுநிலைத் திருகு, 
tangent screw,  தொடுகோட்டுத் திருகு, டான்ஜென்ட் திருகாணி, 
tangent space,  தொடுவெளி, 
tangent vector,  தொடலித்திசையன், தொடுநெறியம், 
tangling,  பின்னிச் சிக்குப்படுத்து// சிக்கலுறுத்து இயக்கத்தடை, 
tankage,  தேக்கஅளவு, தொட்டித்தேக்கச் சேமிப்பு/ கழிவுக் கொழுப்பெரு, அரைக்கப்பட்ட மாமிச மற்றும் எலும்பு உபபொருட்கள், 
tank balloon,  காற்றுப்பைத் தொட்டி, தாங்கல்-பூதி, 
tank barge,  ஏரிப்படகு, தாங்கல் - தட்டைப்படகு, 
tank battery,  இடையிணைப்புச் சேமிப்புத் தாங்கல்;- இணை அடுக்குத்தொட்டி, 
tank bottom,  தொட்டி அடிப்பாகம், 
tank car,  தாங்கல்-ஏந்தூர்தி// சேமகலன் இருப்புப்பாதை உந்து, 
tank circuit,  தொட்டிச் சுற்று, தேக்கச்சுற்று, 
tanker,  தாங்கல்-வான்கலம், எண்ணெய்க் கப்பல், தாங்கல்-கலம்; நெய்யக்கப்பல், 
tank gage,  தொட்டி நீர்மஅளவி, 
tank periscope,  தொட்டி மறைபொருள் நோக்கி, 
tank reactor,  தாங்கல் - அணுக்கருவுலை, தனித்தொட்டி உள்ளக அணுஉலை, 
tank scale,  நீர்மத்தொட்டி அளவீடு, தாங்கல்-நேரளவியம், 
tank truck,  தாங்கல் வல்லுந்து, எண்ணெய்க்கல பளுவண்டி/ கலன் வண்டி, 
tanning agent,  தோற்காப்பி, பதனீட்டுச் செயலி, பதனீட்டுப் பொருள், 
tanning extract,  பதனீட்டு வடிகட்டு, 
tantalum,  தண்தாளாயம் தண்டாளாயம், தாந்தலம் , டாண்டலம், 
tantalum capacitor,  டாண்டலக் கொண்மி, தண்தாளாயக் கொள்ளகி, 
tantalum nitride resistor,  டாண்டலம் நைட்ரைடு தடையகம், தண்தாளாய வெடியகை மறிப்பி, 
t antenna,  T வடிவ அலைவாங்கி, 
tantiron,  அமிலத்தடை இரும்பு உலோகம், 
tap bolt,  நிறுத்து மரையாணி, திருகிய பூட்டாணி, 
tap changer,  மடைமாற்றி, 
tap changing,  மடைமாற்றல், 
tap crystal,  மடைப்படிகம், 
tap density,  மடைப்பொடி அடர்த்தி, 
tape cartridge,  நாடாப் பேழை; நாடாப் பொதியுறை, 
tape controlled machine,  காந்தநாடாக் கட்டுப்பாட்டு எந்திரம், 
tape copy,  வார்ச் செய்திப்படி; நாடா நகல், 
tape correction,  நாடாத் திருத்தம்/ வார்த்திருத்தம், 
tape deck,  நாடாத் தட்டு, ஒலிநாடாப் பதிவகம், 
tape float liquid level gage,  நாடா மிதவை நீர்மமட்ட அளவி, 
tape gage,  நாடா ஓத அளவி, 
tape loop,  காந்தநாடாக் கண்ணி, 
tape player,  வாரொலிப்பி; நாடாக் கேட்புப்பொறி, 
taper bit,  கூம்பல் துரப்பணம், 
tape recording,  வார்ப்பதிவு; நாடாப் பதிப்பு, ஒலிநாடாப் பதிவுசெய்தல், 
tapered core bit,  சரிவு உள்ளகத் துரப்பணம், 
tapered joint,  சரிவுறு மூட்டு, 
tapered thread,  சரிவுப் புரி, 
tapered wave guide,  சரிவுறு அலைவழிப்படுத்தி, 
tapered wheel,  சரிவுறு சக்கரம், 
tape relay station,  நாடா மடைமாற்றுநிலையம், 
tape reperforator,  தாள்நாடா மறுதுளையிடு கருவி, 
taper in thickness ratio,  கூம்பல் தடிப்புவிகிதம், 
taper key,  சரிவுச் சாவி, 
taper pin,  குவிய ஆணி// சரிவுச் செருகாணி/ கூம்பூசி/ கூம்பாணி/ கூம்புமுளை, 
taper plug gage,  உள்ளகச் சரிவுஅளவி, 
taper reamer,  கூம்பல்-துளை சுரண்டி/ கூம்பல் துளைதிருத்தி, 
taper ring gage,  வெளிச்சரிவு அளவி, 
taper rolling bearing,  கூம்பல் உருள்தாங்கி, 
taper shank,  கூம்பு உளியுடல்/ கூம்பற்காம்பு, 
taper tap,  கூம்பு செதுக்குளி/ கூம்பற்புரிவெட்டி: மரைக்கூம்புரு - புரிவெட்டி, 
taper washer,  கூம்பல் அடைவலயம், 
tape speed,  காந்தவாரியக்க வேகம்; நாடா வேகம், 
tape transmitter,  நாடாச் செலுத்தி, 
tape wound core,  நாடாச் சுற்றிய உள்ளகம், 
taphole,  மடுப்புத் துளை, 
taphonomy,  புதைபடிவப் பேணலியல், தொல்லுயிரெச்சத் தோற்றவியல், 
taphrogeny,  பாறைப்பிளவு குகைவழித் தோற்றம், பாறைப்பிளவு குகை, பாறைபிளவுக் குகைவழி அமைவு, 
taphrogeosyncline,  பாறைபிளவுக் குழிவு, பாறைப்பிளவுக் குழிவு மடிப்பு, 
taping,  நாடாஅளக்கை; நாடாவால் கட்டு, 
tapped control,  மடைக் கட்டுப்பாடு, 
tapped resistor,  மடுப்புத் தடையகம், 
tappet,  தட்டியக்கப் பிதுக்கம், தட்டுக்குமிழ் - தட்டியக்கப் பிதுக்கம், 
tappet rod,  தட்டியக்கப் பிதுக்கத்தண்டு, 
tap switch,  மடை இணைப்புமாற்றி, 
tap wrench,  மடைக் கைக்குறடு: மரையுளி நிலைக் குறடு/ கூம்பல் திருப்புளி, 
tar acid,  கரிக்கீல் அமிலம், 
tarantata,  கடுந்தென்றல்; நடுநிலக்கடல் வடமேற்கு மென்காற்று, 
tar distillate,  கரிக்கீல் காய்ச்சிவடித்தப் பொருள்/ கரிநெய்-வடி நீர்மம், 
target acquisition,  இலக்குப்பெறுகை;- இலக்கு பற்றல், 
target acquisition radar,  இலக்கு பற்றல் - கதுவீ;- இலக்குப்பெறுகை ரேடார், 
target angle,  இலக்குக் கோணம்;- இலக்குக்கோணம், 
target approach point,  இலக்கு நெருங்குநிலை, 
target designating system,  இலக்கு குறிப்பீட்டுமுறை, 
target discrimination,  இலக்குப் பிரித்துணர்தல்;- இலக்கு - வேறுபாடறிகை, 
target drone,  இலக்கு-வான்கலம்;- இலக்கு ஓட்டுநரிலா வானூர்தி, 
target echo,  இலக்கு எதிரொலி, 
target noise,  இலக்கு இரைச்சல்;- இலக்கிரைச்சல், 
target pattern,  இலக்குப் பாங்கம்;- இலக்கு வானூர்தி பயணப்பாதை, 
target signal,  இலக்குக் குறிச்சுட்டு;- இலக்கு குறிகை, 
target signature,  இலக்கு குறிப்புப்பாதை;- இலக்கு - அறிபாங்கம், 
target strength,  இலக்கு வலிவு;- இலக்கு வலிமை, 
target type flow meter,  இலக்குவகைப் பாய்மஅளவி, 
target volume,  இலக்கு பருமன், 
tarlatan,  ஒளிபுகு மென்துகில், தளர் பளபளப்பு மென்பருத்தித் துணி, 
tarn,  மலைச்சுனை// சதுப்புக் குட்டை: மலை ஏரி/ காயல் குட்டை, தரைமூடிய குட்டை, 
tar paper,  கரிநெய்த்தாள்/ கரிக்கீல் தாள், 
tarring,  கரிக்கீல் பூச்சு, 
tar sand,  கரிநெய் மணல்/ கரிக்கீல் மணல், 
tar seep,  கரிக்கீல் எண்ணெய் ஊடுருவல், 
t attenuator,  பின்னல் மெலிப்பி, 
tatting,  ஓரப்பின்னல் குஞ்சவேலை/ கைப்பின்னல் வார் முடிப்பு, 
tauber test,  டாபெர் சோதனை, 
tau meson,  டாவ் மேசான், 
tau particle,  டாவ் துகள், 
taut band ammeter,  இயல்பட்டை மின்னோட்ட அளவி, 
taut line cableway,  இயல்தொடர் வடவழி, 
tawing,  தோல் பதனிடுதல், படிகாரப் பதனிடல், பதனிடுதல், 
taxi channel,  ஒடுதள அணுகுவழி/ வாடகை வானூர்திக் கால்வாய், 
taxi channel lights,  வான்கலவழி விளக்குகள், 
taxiway,  வான்கலவழி/ வாடகை - வானூர்திப்பாதை, 
taylor connection,  டைலர் இணைப்பு, 
taylor effect,  டைலர் விளைவு, 
taylor instability,  டைலர் நிலைப்பின்மை, 
taylor number,  டைலர் எண், 
taylor orowan dislocation,  டைலர் ஒரோவன் இடப்பிறழ்வு, 
taylor process,  டைலர் செயல்முறை, 
taylor series,  டைலர் தொடர், 
t beam,  T வடிவ விட்டம், 
t circulator,  T வடிவத் திறன்சுழற்றி, 
t connector,  செங்குத்து இணைப்பி, 
t distribution,  T பகிர்வு, 
teach,  எந்திரன் இயக்கத் திட்டமிடல், 
teach by driving,  இயக்கிக் கற்பி, 
teaching interface,  எந்திரன் இடைமுகப்பு, 
teach pendant,  எந்திரன் இயக்கக் கைக்கருவி, 
teakwood,  தேக்குமரம், 
tear down,  துளையிடு அமைப்பு இடமாற்றம், 
teardrop balloon,  கண்ணீர்த்துளி வடிவக் காற்றுப்பை/ கண்ணீர்த்துளிப்பூதி, 
tear fault,  செங்குத்துப் பிளவு, 
tear gas,  கண்ணீர்ப் புகை/ கண்ணீர்ப்புகை/ கண்ணீர்-வளி, 
tearing,  அவதாரம்/ கிழித்தல்/ வகிர்/ கீறல், 
tears,  அருநீர்; நேபம்/ கிடைமட்ட இரைச்சல்: முத்து/ கண்புனல், பனி/ கண்பணி; நேத்திரரசம், ஆலிநீர்/ கசி, தாரகநீர்/ கலுழி; நேத்திரராம்பு/ கண்ணீர்/ கிழிவுக்குலைவு, 
tearing strength,  கிழிப்பு வலிமை, 
tear strength,  கிழிப்புவலிமை/ கிழிப்பு வலிமை, 
teaspoonful,  தேக்கரண்டி அளவு, 
technetium,  தச்சனியம், டெக்னீசியம், 
technetron,  உயர்திறப் பல்தடத் திரிதடையம், 
technical acoustics,  தொழினுட்பக்கேட்பொலியியல், ஒலிநுட்பவியல்; நுட்ப ஒலியியல், 
technical atmosphere,  தொழில்நுட்பச் சூழல், 
technological environment,  தொழில்நுட்பச் சூழல், 
technical characteristics,  தொழில்நுட்பப் பான்மைகள், தொழினுட்பச்சிறப்பியல்புகள், 
technical cohesive strength,  தொழினுட்பஒட்டல்வலிவு, தொழில்நுட்பப் பிணைவு வலிமை, 
technical control board,  தொழினுட்பக்கட்டுப்பாட்டுவாரியம், தொழில்நுட்பக் கட்டுப்பாட்டுப் பலகை, 
technical evaluation,  தொழினுட்பமதிப்பீடு, தொழில்நுட்ப மதிப்பீடு, 
technical information,  தொழில்நுட்பத் தகவல், தொழினுட்பச்செய்தியறிவிப்பு, 
technical inspection,  தொழில்நுட்பக் கூர்நோக்கு, தொழினுட்பஉண்ணோட்டம், 
technical load,  தொழில்திறப்-பாரம், தொழினுட்பப்பாரம், தொழில்நுட்பச் சுமை, 
technical maintenance,  தொழில்நுட்பப் பேணல், தொழினுட்பப்பேணுகை, 
technical manual,  தொழில்நுட்பக் கையேடு, தொழினுட்பக்கையேடு, 
technical specifications,  தொழில்நுட்பத் தரவரைவுகள், தொழினுட்பக்குறிப்பீடுகள், 
tricolour,  மூவண்ணம்: முந்நிறமுடைய, 
technicolor,  மூவண்ணம், 
tectofacies,  கண்டத்தட்டு நகர்வுசார் பாறைவகைமை/ கண்டத்தட்டு நகர்வுசார் பாறை வகைமை, 
tectogene,  கண்டத்தட்டியக்கத் தோற்ற/ கண்டத்தட்டியக்கவழித் தோன்றிய, 
tectonic rotation,  கண்டத்தட்டியக்கச் சுழற்சி; நிலக்கட்டுமானச் சுழற்சி, 
tectonic cycle,  கண்டத்தட்டியக்கச் சுழற்சி, 
tectonic forces,  கண்டத்தட்டியக்க விசை, 
tectonic framework,  கண்டத்தட்டியக்கக் கூட்டமைப்பு, 
tectonic land,  கட்டுமான நிலம்/ கண்டத்தட்டு நிலம், 
tectonic lens,  கட்டுமானப் பாறைவில்லை/ கண்டத்தட்டு பாறைவில்லை, 
tectonic map,  கண்டத்தட்டு நகர்வு வரைபடம்; நிலவோட்டுக்கட்டமைப்புப்படமம்/ கண்டத்தட்டு நகர்வு நிலப்படம், 
tectonic moraine,  கண்டத்தட்டியக்கப் பனியாற்று முறம்பு/ கண்டத்தட்டியக்க பனியாற்று முறம்பு, 
tectonic patterns,  கண்டத்தட்டு நகர் பாணிகள், 
tectonics,  கட்டமைவியல்/ கண்டத்தட்டு நகர்வியல்/ கண்டத்தட்டு இயக்கவியல்; நிலவோட்டுக்கட்டமைவுக்குலைவியல், 
tectonoeustatism,  கண்டத்தட்டியக்க ஓதங்கள், 
tectonomagnetism,  நிலப்பாறைக் காந்தவியல், 
tectonometer,  கண்டத்தட்டியக்க அளவி, பாறைக்கட்டமைப்புமானி, 
tectonophysicist,  நிலக்கட்டமைப்புப்பூதியலர்/ கண்டத்தட்டியக்க இயற்பியல் வல்லுநர்/ கண்டத்தட்டியக்க இயற்பியலார்; நிலவோட்டுநெகிழ்பிறழ்வுப் - பூதியலர், 
tectonophysics,  நிலக்கட்டமைப்புப்பூதியல்/ கண்டத்தட்டியக்க இயற்பியல், 
tectomosphere,  கண்டத்தட்டியக்க மண்டலம், 
tectonosphere,  கண்டத்தட்டியக்க மண்டலம், 
tee joint,  T வடிவ மூட்டு, 
teeming,  உருக்கு ஊற்றல்;- இளக்கமாழைஊற்றுதல்// செறிவு, ஊற்றுதல், ஈணுதல், 
teeth of the gale,  காற்றுவரும் திசை, 
upwind,  காற்றுவரும் திசை, 
tehuantepecer,  மெக்சிகோ வளைகுடா வடக்குக் காற்று: மெக்சிகோ வளைகுடா வடக்குக்காற்று, 
tektite,  மூலம் தெளிவற்ற கண்ணாடிப்பொருள், 
telautograph,  மை எழுதுகோல் தந்திக்கருவி, 
tele,  தொலை, 
telecast,  ஒளி, தொலைக்காட்சி - பரப்பல், ஒளிபரப்பு, 
telechir,  தொலைக்கையாளுவி, 
telechirics,  தொலைக்கையாளுகைப் பயன்பாடு, தொலை- இடர்ப்பணியியல், 
television camera,  தொலைக்காட்சி ஒளிப்படக்கருவி, தொலைக்காட்சிப்படம்பற்றி, 
telecine camera,  தொலைக்காட்சி ஒளிப்படக்கருவி, 
telecommunications,  தொலைத்தொடர்பு, 
teleconference,  தொலைமாநாடு/ காணொலிக் கருத்தரங்கு, தொலைத்தொடர்புமாநாடு, 
telecontrol,  தொலைக்கட்டுப்பாடு, 
telegraph bandwidth,  தொலைவரிப்பட்டையகலம், தொலைவரியலைப்பட்டை அகலம், 
telegraph buoy,  தொலைவரியலை மிதவை/ வடக்குறிமிதவை, 
telegraph cable,  தொலைவரிவடம், தொலைவரியலை வடம், 
telegraph carrier,  தொலைவரியலை ஊர்தியலை, 
telegraph circuit,  தொலைவரியலை மின்சுற்று, தொலைவரிச்சுற்று, 
telegraph code,  தொலைவரிக்குறியீடு, தொலைவரியலைக் குறிமுறை, 
telegraph concentrator,  தொலைவரியலைச் செறிவாக்கி, 
telegraph distributor,  தொலைவரியலைப் பகிர்வி, 
telegraph emission,  தொலைவரியலை உமிழ்வு, தொலைவரியுமிழ்வு, 
telegraph grade,  தொலைவரியலைத் தரம், 
telegraph interference,  தொலைவரியலைக் குறுக்கீடு, தொலைவரிஇடையீடு, 
telegraph receiver,  தொலைவரிஏற்பி, தொலைவரியலை வாங்கி, 
telegraph repeater,  தொலைவரியலை மீட்டியக்கி, 
telegraph signal distortion,  தொலைவரியலைக் குறிகை உருக்குலைவு, 
telegraph transmitter,  தொலைவரிஊடுசெலுத்தி, தொலைவரியலைச் செலுத்தி, 
tele jake,  தொலைக்காட்சி பாடற்பெட்டி, 
telemagnetic,  தொலைக்காந்த, 
telemeeting,  தொலைக்கூட்டம், 
telemeteorograph,  தொலைவானிலை வரைவி, தொலைவானிலை-பதிகருவி, 
telemeteorography,  தொலைவானிலை வரைவியல், தொலைவானிலைப்பதிவியல், 
telemeteorometry,  தொலைவானிலை அளவியல், தொலைவானிலைமானிப்பியல், தொலை வானிலை அளவியல், 
telemeter,  தொலைவளப்புமுறை, தொலைமானி, தொலைஅளவி, தொலையளவி, தொலைவுமானி, 
telemetering,  தொலைமானிப்பு, தொலைஅளவிடல், 
telemetering antenna,  தொலைஅளவீட்டு அலையுணரி, தொலைமானிப்பு - அலைக்கொடி, 
telemetering receiver,  தொலைமானிப்பு - ஏற்பி, தொலைஅளவீட்டு அலைவாங்கி, 
telemetering transmitter,  தொலைஅளவீட்டுச் செலுத்தி, தொலைமானிப்புஊடுசெலுத்தி, 
telemetering wave buoy,  தொலைஅளவீட்டு அலைமிதவை, தொலைமானிப்புஅலைமிதவை, 
teleologist,  இலக்கு நோக்கியலர், 
teleology,  நோக்க உளவியல்; நோக்கியல்;- இலக்கு நோக்கியல், அறுதிக்காரணக்கோட்பாடு;- இலக்கியல்; நோக்கவியல், 
tele operator,  தொலைவிட இயக்குபவர், 
telephone answering system,  தொலைபேசி விடையளி அமைப்பு, 
telephone carrier current,  தொலைபேசி-ஏந்திமின்னோட்டம், தொலைபேசி ஊர்தியலை மின்னோட்டம், 
telephone channel,  தொலைபேசி அலைவரிசை, தொலைபேசி - அலையதர், 
telephone circuit,  தொலைபேசிச் சுற்று, தொலைபேசிச்சுற்று, 
telephone dial,  தொலைபேசி முகப்பு, தொலைபேசிஎண்ணாழி, தொலைபேசிஎண்ணிடம், 
telephone induction coil,  தொலைபேசித் தூண்டுச்சுருள், தொலைபேசி - தூண்டுசுருள், 
telephone influence factor,  தொலைபேசிதாக்காற்றல்காரணி, தொலைபேசித் தாக்கக்காரணி, 
telephone line,  தொலைபேசித் தொடர், தொலைபேசிப்பாதை, 
telephone modem,  தொலைபேசி மோடம், 
telephone pickup,  தொலைபேசி உணர் எல்லை, 
telephone receiver,  தொலைபேசி வாங்கி, தொலைபேசி - ஏற்பி, 
telephone relay,  தொலைபேசித்தொடர்ப்பியலி, தொலைபேசி உணர்த்தி, 
telephone repeater,  தொலைபேசி மீட்டியக்கி, 
telephone repeating coil,  தொலைபேசிமீள்செய்கைச்சுருள், தொலைபேசி மீட்டியக்குச் சுருள், 
telephone ringer,  தொலைபேசி ஒலிப்பி, தொலைபேசி - கறங்கி, 
telephone set,  தொலைபேசி அமைப்பு, தொலைபேசிக்கணம், 
telephone signal,  தொலைபேசிக் குறிகை, தொலைபேசிச்சுட்டுக்குறி, 
telephone transmitter,  தொலைபேசிச் செலுத்தி, தொலைபேசிப் பரப்பி, தொலைபேசி-ஊடுசெலுத்தி, 
telephony,  தொலைபேசியியல், தொலைபேசிச்செய்தித்தொடர்பு, 
telephoto,  தொலைஒளிப்படம், தொலைப்படம், தொலையொளிப்படம், 
telephotography,  தொலை ஒளிப்படவியல், தொலையொளிப்படவியல், தொலைஒளிப்படவியல், 
tele photometry,  தொலை ஒளிஅளவியல், 
teleport,  தொலை த்துறை, 
tele presence,  தொலை இருத்தல், 
teleprinter code,  தொலையச்சுக் குறியீடு, தொலையச்சுக்குறியீட்டெண், 
teleprinting,  தொவையச்சீடு, தொலையச்சு அனுப்புதல், தொலைஅச்சிடுதல், 
teleprompter,  தொலைத்தகவல் காட்சி அமைவு, 
telepsychrometer,  தொலை-ஈரப்பதன்மானி, தொலை ஒருங்கிணைவி, 
tele recording,  தொலை நிகழ்ச்சிப்பதிவு, 
telering,  தொலைஇயக்கம் தெரிவுக்கருவி, 
telerobot,  தொலைஇயக்க எந்திரன், 
telescope alidade,  தொலைநோக்கித் திசைக்குறிப்பி, 
telescope effect,  நீட்சியுறு, 
telescope structure,  தொலைநோக்கிக் கட்டமைப்பு, தொலைநோக்கிக்கட்டமைப்பு, 
telescopic derrick,  விரிநுழைவுக் கப்பற்தளம், 
telescopic series,  விரிபோக்குத் தொடர், 
telescopic tripod,  விரிநுழைவு முக்காலிச் சட்டம், தொலைநோக்கமுக்காலி, 
telescoping gage,  விரிநுழைவு துளைஅளவி, 
telescoping valve,  விரிநுழைவுத் தடுக்கிதழ், 
teleseism,  தொலை நிலநடுக்கம், தொலைநிகழ் நிலநடுக்கம், 
teleseme,  தொலைப் பொருளன், 
teleseismology,  தொலை நிலநடுக்கவியல், தொலை - நிலநடுக்கியல், 
teleseminar,  தொலைக்கருத்தரங்கு, 
teletext,  தொலைத்தரவுச்செய்தியீடு, தொலைத் தரவுகாட்சி, 
telethermal,  தொலைவெப்ப, 
